sleeper_id,fantasypros_id,mfl_id,name,merge_name,position,team
12541,27288,17087,Dont'e Thornton,donte thornton,WR,LVR
12497,26022,17098,Tory Horton,tory horton,WR,SEA
12493,25997,17099,Oronde Gadsden,oronde gadsden,TE,LAC
12518,26434,17102,Tyler Warren,tyler warren,TE,IND
12506,27050,17103,Harold Fannin,harold fannin,TE,CLE
12517,26006,17104,Colston Loveland,colston loveland,TE,CHI
12502,27109,17105,Gunnar Helm,gunnar helm,TE,TEN
12498,26005,17106,Mason Taylor,mason taylor,TE,NYJ
12487,23091,17107,Terrance Ferguson,terrance ferguson,TE,LAR
12521,23004,17108,Elijah Arroyo,elijah arroyo,TE,SEA
12473,27138,17109,Mitchell Evans,mitchell evans,TE,CAR
12547,27487,17134,Kyle Williams,kyle williams,WR,NEP
12535,27446,17157,Isaac TeSlaa,isaac teslaa,WR,DET
12540,27315,17171,Chimere Dike,chimere dike,WR,TEN
12641,27454,17184,Jaylin Lane,jaylin lane,WR,WAS
12533,27316,17256,Jacory Croskey-Merritt,jacory croskey-merritt,RB,WAS
11560,23084,16579,Caleb Williams,caleb williams,QB,CHI
11564,23046,16580,Drake Maye,drake maye,QB,NEP
11566,22902,16581,Jayden Daniels,jayden daniels,QB,WAS
11563,22910,16582,Bo Nix,bo nix,QB,DEN
11559,22973,16583,Michael Penix Jr.,michael penix,QB,ATL
